province,latitude,longitude,fire_cause,fire_type,response_type,protection_zone,fn_indicator,n_fn_20km,any_evacuation,log_fire_size_ha,log_dist_to_fn_km
BC,53.5365,-126.6308,natural,fire,monitor,other,False,0,False,-1.047490036837941,-0.1165743574772586
BC,53.125,-127.651,unknown,fire,monitor,other,False,2,False,-1.2748424481395593,-0.9997826886414491
BC,50.6931,-117.1213,natural,fire,moderate,other,False,0,False,-0.1646204619557763,0.1884496869145874
BC,50.6806,-122.3862,natural,fire,full,other,False,13,False,1.1831201492289771,-1.4644830856123072
BC,50.3991,-122.6656,natural,fire,moderate,other,False,13,False,-0.9106649445638516,-1.6629395484914398
BC,49.6784,-115.4511,natural,fire,moderate,other,False,3,False,0.3357471018986264,-0.920475711497503
BC,50.7671,-117.475,natural,fire,moderate,other,False,0,False,-0.9060681241188632,0.3867290241199451
BC,54.5447,-125.033,natural,fire,full,other,False,16,False,0.7988492306074727,-1.7799387377600966
BC,54.3421,-125.293,natural,fire,monitor,other,False,1,False,-0.1355391870067971,-0.7500051874749774
BC,50.7831,-121.8895,natural,fire,full,other,False,36,False,-0.6821567119261527,-2.1121716260203938
BC,59.463,-120.0004,unknown,fire,monitor,other,False,0,False,0.1703236834460707,0.2127099293980021
BC,49.1726,-120.0607,natural,fire,full,other,False,5,False,2.078173855918314,-1.7003821584953924
BC,50.8561,-122.9739,natural,fire,full,other,False,0,False,1.0786663740173272,-0.1788890867925273
BC,55.9468,-124.5446,natural,fire,full,other,False,1,False,2.885680102833126,-0.8550371753936652
BC,50.3474,-121.7151,natural,fire,full,other,False,55,False,0.634220686478921,-1.942730293784626
BC,50.1667,-122.0922,natural,fire,moderate,other,False,0,False,-0.6189999942671947,-0.4248617835111275
BC,55.1462,-128.7224,natural,fire,full,other,False,0,False,-1.3627700895731674,-0.4715774953790309
BC,50.7078,-123.3159,natural,fire,monitor,other,False,0,False,-0.927811890757572,-0.0341331581636296
BC,50.6616,-123.0929,natural,fire,moderate,other,False,0,False,-1.3011861688682715,-0.2514476601558186
BC,54.4756,-125.1785,natural,fire,monitor,other,False,9,False,-1.1509985290105047,-1.791687911312813
BC,50.6323,-117.2956,natural,fire,moderate,other,False,0,False,-0.9719841182454012,0.2817481983982545
BC,49.3602,-116.2142,natural,fire,moderate,other,False,0,False,-0.1103330337805248,-0.3743363199397005
BC,49.7641,-125.7,natural,fire,monitor,other,False,0,False,0.1835322099187801,-0.5235241515960748
BC,50.9437,-116.4795,natural,fire,full,other,False,0,False,-0.3738050453595338,-0.0777454462406057
BC,50.3079,-122.044,natural,fire,monitor,other,False,0,False,-0.810772287892928,-0.5602991280779691
BC,57.651,-123.6047,natural,fire,monitor,other,False,0,False,-0.7855089144719057,0.1118331697856202
BC,50.742,-117.0683,natural,fire,moderate,other,False,0,False,-0.7619819271402951,0.1665405214787437
BC,49.5076,-125.5733,natural,fire,monitor,other,False,0,False,-0.2239605919423538,-0.6691449467988061
BC,49.2067,-115.0082,natural,fire,monitor,other,False,1,False,0.0603469438418421,-0.9771869343513304
BC,50.5343,-116.2428,natural,fire,full,other,False,1,False,0.5147101524614381,-0.9519247346184356
BC,50.8046,-117.3171,natural,fire,moderate,other,False,0,False,-0.4216077333738106,0.318938940215673
BC,52.8374,-120.4661,natural,fire,monitor,other,False,0,False,-1.243613372191933,0.3850903597395358
BC,52.971,-124.6291,natural,fire,full,other,False,5,False,-0.96524208071802,-1.0189915099478284
BC,55.5963,-126.784,natural,fire,full,other,False,0,False,-1.2506843474003215,-0.696790522904093
BC,50.6605,-116.9419,natural,fire,moderate,other,False,0,False,-1.2454390058839335,0.0621469036123237
BC,53.114,-127.599,unknown,fire,monitor,other,False,1,False,-0.7705482154279161,-0.8461038988639115
BC,57.429,-120.2001,natural,fire,monitor,other,False,0,False,0.7953108694901764,0.2380124069303957
BC,53.4815,-123.8472,natural,fire,full,other,False,0,False,0.2101941139552536,-0.4876973401544047
BC,54.2352,-125.6435,natural,fire,full,other,False,8,False,0.9692161012251927,-1.4288496588641264
BC,52.2005,-123.4805,natural,fire,full,other,False,2,False,-0.1355391870067971,-0.778419060045354
BC,54.4547,-125.2762,natural,fire,moderate,other,False,9,False,-0.883572510459492,-1.324642198194346
BC,59.5248,-126.6508,natural,fire,monitor,other,False,0,False,1.2276230687397591,-0.4751849562412079
BC,51.7347,-125.8142,natural,fire,monitor,other,False,0,False,-0.876248442121343,0.0764483322949741
BC,50.4053,-117.7668,natural,fire,moderate,other,False,0,False,-1.3627700895731674,0.3194127189314214
BC,50.462,-117.5974,natural,fire,moderate,other,False,0,False,-0.4316179430017363,0.3952358638366953
BC,57.3534,-124.8435,natural,fire,moderate,other,False,0,False,1.678384509607273,-0.1990272706071905
BC,50.5959,-122.7344,natural,fire,monitor,other,False,6,False,-1.1075408656381058,-0.9489132354227262
BC,50.2953,-117.1051,natural,fire,monitor,other,False,0,False,-1.280338656904814,0.2126823962613727
BC,54.3053,-126.7612,natural,fire,full,other,False,0,False,-0.1156791025355858,-0.7052829026836864
BC,50.123,-116.6149,natural,fire,moderate,other,False,0,False,-0.9536138416437504,-0.0093581518304517
BC,54.8934,-125.8987,natural,fire,monitor,other,False,2,False,0.9644845006491388,-0.8868557420341702
BC,49.1341,-119.9525,natural,fire,monitor,other,False,9,False,-0.8112583010081663,-1.9896873671681856
BC,50.6978,-123.4493,natural,fire,monitor,other,False,0,False,0.0623293606009681,0.0440642230751724
BC,53.8076,-126.6908,natural,fire,full,other,False,0,False,0.5821745293347054,-0.6505129543680331
BC,50.2737,-115.6343,natural,fire,full,other,False,1,False,0.7196508219612988,-0.7751088319768743
BC,59.6431,-123.2241,natural,fire,moderate,other,False,0,False,0.4894253669640215,-0.6023114572991541
BC,49.1089,-121.2662,natural,fire,monitor,other,False,0,False,-0.0845518917973829,-0.4132242048676952
BC,53.7504,-126.1737,natural,fire,monitor,other,False,1,False,1.2294365356440624,-0.8644180254462582
BC,49.7123,-123.5527,natural,fire,moderate,other,False,5,False,-0.9022628144597729,-1.0176534002200173
BC,57.2791,-120.9118,natural,fire,monitor,other,False,0,False,1.5169586747243122,0.0048985963982714
BC,53.0898,-127.5075,unknown,fire,monitor,other,False,0,False,-0.5130390424554196,-0.6268219402210137
BC,55.3665,-124.4427,natural,fire,full,other,False,0,False,1.236302167259569,-0.1736859497297386
BC,50.1619,-117.139,natural,fire,moderate,other,False,0,False,-0.9822339648931512,0.2788520195739736
BC,54.0454,-126.5994,natural,fire,full,other,False,6,False,0.6379391122661293,-1.7702238916910125
